target,motif,PuzzleId,FEN,Moves,Rating,Popularity,NbPlays,Themes
fork,fork,p8Qi4,1k1r4/1pp2p2/4q3/pP2P1p1/P2P1bNp/3Q3P/5PP1/3R2K1 w - - 1 33,d3e4 f7f5 e4f3 f5g4,1647,74,95,20156,crushing endgame fork short,https://lichess.org/ksKUD2za#65,,
fork,fork,qhDge,8/4rqkp/4pnp1/1B1p4/P5r1/2Q1R1P1/2P2P1P/5RK1 w - - 3 30,f1e1 d5d4 c3a1 d4e3,1269,82,94,1410,advantage fork middlegame short,https://lichess.org/I5h3IIEc#59,,
fork,fork,sEtrc,2n1k2r/1b1p1pb1/4p1pp/Q7/3PPB2/1P3N2/1q3PPP/2N1K2R w Kk - 2 20,d4d5 g7c3 a5c3 b2c3,1284,82,91,4505,crushing fork middlegame short,https://lichess.org/CJfHjSOQ#39,,
fork,fork,tnQum,8/2n3p1/7b/R7/3KNk1p/8/PPP4P/6n1 w - - 11 40,a5a7 c7b5 d4d5 b5a7,1147,77,94,623,advantage endgame fork short,https://lichess.org/XMRCaU3L#79,,
fork,fork,vLmt6,1rb2r2/1p2b1k1/p1q1p2p/6p1/PP2Q3/2PB2P1/5P1P/R3R1K1 b - - 0 22,f8h8 e4e5 e7f6 e5b8,2003,81,92,3084,advantage fork middlegame short,https://lichess.org/hy5z1WSV/black#44,,
fork,fork,wtBN1,r4r2/4p1k1/p2p1pp1/2qP1b2/1p3N1P/3R2Q1/PPP5/1K4R1 b - - 0 24,a8c8 f4e6 g7f7 e6c5,1680,79,93,846,advantage fork middlegame short,https://lichess.org/E7RjeLoy/black#48,,
fork,fork,yR9sV,4r1k1/pp3ppp/3p1q2/2p5/2P2n2/PPR2N2/3P1PPP/3Q2K1 w - - 3 20,g2g3 f4e2 g1g2 e2c3,1460,79,96,23274,crushing endgame fork short,https://lichess.org/COsVUWPl#39,,
pin,pin,001kG,rnbq3r/1p2bkpp/p4n2/8/2pNP3/2N5/PPP3PP/R1BQ1RK1 b - - 1 11,e7c5 d1h5 f7g8 h5c5,1963,76,93,1158,advantage opening pin short,https://lichess.org/xXAEaVto/black#22,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,
pin,pin,1XkrW,r2rn1k1/ppq2pbp/3p2p1/4p1P1/3nPPBP/PPN5/1BPQ4/2KR3R w - - 0 19,c3d5 d4b3 c1b1 b3d2,1265,76,92,3522,crushing middlegame pin queensideAttack short,https://lichess.org/28MiQvIk#37,Sicilian_Defense Sicilian_Defense_Closed,
pin,pin,37ynF,r2q1rk1/ppp2ppp/4bn2/2b1p1B1/2B1P3/2PP2Q1/PP4PP/RN3R1K b - - 2 13,e6c4 g5f6 d8f6 f1f6,1221,81,93,17041,crushing opening pin short,https://lichess.org/vwx3XVEd/black#26,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,
pin,pin,4hrxt,2rqr1k1/5p1n/p1p3p1/1p1b2PN/1b1P1P1P/3BP3/PPQP4/R1B1K1R1 w Q - 1 22,d3g6 e8e3 e1f2 e3f3,1673,75,87,650,crushing middlegame pin short,https://lichess.org/eFPfnVVt#43,,
pin,pin,6DJpz,r1bqkb1r/1p2pppp/p1P2n2/1B6/3Q4/2N5/PPP2PPP/R1B1K1NR b KQkq - 0 7,d8d4 c6b7 a6b5 b7a8q,1240,76,87,686,advancedPawn crushing discoveredAttack discoveredCheck master masterVsMaster opening pin promotion short,https://lichess.org/ZhC77R0V/black#14,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,
pin,pin,7n5M9,2r2rk1/pb3pp1/1p3n1p/2b1q3/4p2N/1QN1P1PP/PP3PB1/2RR2K1 b - - 0 19,g7g5 h4g6 e5b8 g6f8,1482,77,96,19605,advantage master middlegame pin short,https://lichess.org/eHSRjl89/black#38,Kings_Indian_Attack Kings_Indian_Attack_Other_variations,
pin,pin,9L3qN,r1b2rk1/ppp2ppp/1bnn1q2/8/3P1B2/1BN2N2/PPP3PP/R2Q1RK1 w - - 1 12,f4e5 c6e5 f3e5 f6e5,1652,76,91,1954,crushing opening pin short,https://lichess.org/Pct7VYPE#23,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit,
pin,pin,Ar1zQ,6r1/2p5/p1k2B2/1p2p3/8/2P5/P1P3K1/3R4 w - - 1 29,g2f3 g8f8 f3e4 f8f6,1141,75,100,669,advantage endgame pin short,https://lichess.org/00r7QoGe#57,,
pin,pin,CObOW,8/8/8/k5K1/P5R1/8/1r4p1/8 w - - 6 41,g5h4 b2b4 h4h5 b4g4,1294,75,99,1139,crushing endgame pin rookEndgame short,https://lichess.org/mrmSYVXI#81,,
